center,link,next,amount_of_slots
"Storgatan 71 A, brevid apoteket",https://bokning.mittvaccin.se/klinik/2052,None,0
Tingsryds Folkpark,https://bokning.mittvaccin.se/klinik/1557,None,0
"Lillgatan 1, lokal ovan Åseda bilservice AB",https://bokning.mittvaccin.se/klinik/1556,None,0
"Tipshallen, västra sidan",https://bokning.mittvaccin.se/klinik/2063,None,0
