center,link,next,amount_of_slots
Vaccination Covid-19 Hallsberg,https://bokning.mittvaccin.se/klinik/1350/bokning,2021-05-26 15:35:00,32
Vaccination Covid-19 Karlskoga,https://bokning.mittvaccin.se/klinik/1349/bokning,None,0
Vaccination Covid-19 Lindesberg,https://bokning.mittvaccin.se/klinik/1348/bokning,2021-05-25 17:50:00,31
Vaccination Covid-19 Örebro Boglundsängen,https://bokning.mittvaccin.se/klinik/1351/bokning,2021-05-26 18:40:00,8
Vaccination Covid-19 Örebro Conventum,https://bokning.mittvaccin.se/klinik/1352/bokning,2021-05-26 10:57:00,1
